"Номер","Наименование","Цена","Ссылка"
59,"Pure Fish Scale Cocaine 1g","$ 399.00","http://wzvsz3g6dodj2fyh.onion/product/109"
60,"Afghan Kush - Cannabis 100g","$ 159.00","http://wzvsz3g6dodj2fyh.onion/product/72"
61,"Black Label Kush - Cannabis 20g","$ 79.00","http://wzvsz3g6dodj2fyh.onion/product/78"
62,"Shiva Shanti II® X20 - Seeds Cannabis","$ 14.00","http://wzvsz3g6dodj2fyh.onion/product/97"
63,"Asteroid OG - Cannabis 20g","$ 90.00","http://wzvsz3g6dodj2fyh.onion/product/77"
64,"10 X Gold Bar 260mg - Ecstasy","$ 20.00","http://wzvsz3g6dodj2fyh.onion/product/110"
65,"Feminized Mix X20 - Seeds Cannabis","$ 14.00","http://wzvsz3g6dodj2fyh.onion/product/93"
66,"100 x 9mm Bullets for Glock 19","50 GBP = 0.00884 ฿","http://tuu66yxvrnn3of7l.onion/cart.php"
67,"Walther P99 - 9mm - new and unused","650 GBP = 0.11498 ฿","http://tuu66yxvrnn3of7l.onion/cart.php"
68,"100 x 9mm Bullets for Walther P99","50 GBP = 0.00884 ฿","http://tuu66yxvrnn3of7l.onion/cart.php"
69,"Glock 19 - 9mm - new and unused","500 GBP = 0.08845 ฿","http://tuu66yxvrnn3of7l.onion/cart.php"
70,"Beretta 92A1","$502.00","http://markethphla6dglv.onion/?product=beretta-92a1"
71,"Winchester 5.56 NATO Ammunition 900 Rounds","$159.00","http://markethphla6dglv.onion/?product=22lr-remington-10-boxes-of-50-500-rnds"
72,"Ruger AR556","$2,100.00","http://markethphla6dglv.onion/?product=ruger-ar556"
73,"Ak 47 (7.62×39)","$990.00","http://markethphla6dglv.onion/?product=ak-47-7-62x39"
74,"GLOCK G40 G4","$950.00","http://markethphla6dglv.onion/?product=glock-g40-g4"
75,"Ruger 10/22","$2,500.00","http://markethphla6dglv.onion/?product=ruger-10-22"
76,"Glock G17 Gen5","$650.00","http://markethphla6dglv.onion/?product=glock-g17-gen5"
77,"Springfield Saint","$1,850.00","http://markethphla6dglv.onion/?product=springfield-saint"
78,"ammo Walther PPK, Kal.7,65(2×100 per box=200)","$156.00","http://markethphla6dglv.onion/?product=ammo-walther-ppk-kal-76550-per-box"
79,"Heckler & Koch MP5 A5 .22LR","$340.00","http://markethphla6dglv.onion/?product=heckler-koch-mp5-a5-22lr"
80,"Springfield Saint","$1,900.00","http://markethphla6dglv.onion/?product=springfield-saint"
81,"Glock 41 Gen 4","$550.00","http://markethphla6dglv.onion/?product=glock-41-gen-4"
82,"Detonics MKVI, Combat","$870.00","http://markethphla6dglv.onion/?product=detonics-mkvi-combat"
83,"Saiga AK 47 Izhmash","$3,100.00","http://markethphla6dglv.onion/?product=saiga-ak-47-izhmash"
84,"Ruger Precision","$3,900.00","http://markethphla6dglv.onion/?product=ruger-precision"
85,"5.56 NATO 55 GR FMJ 1000 Round Case","$310.00","http://markethphla6dglv.onion/?product=5-56-nato-55-gr-fmj-1000-round-case"
86,"Winchester Lake City 5.56 NATO Ammo 1000","$178.00","http://markethphla6dglv.onion/?product=223-remington-5-56-10-boxes-of-20-200-rnds"
87,"ammo Desert Eagle IMI, Kal.44(100 per box)","$172.00","http://markethphla6dglv.onion/?product=ammo-desert-eagle-imi-kal-4450-per-box"
88,"Glock 19 Gen 3","$395.00","http://markethphla6dglv.onion/?product=glock-19-gen-3"
89,"AK-47-Kalashnikov Full Auto","$800.00","http://markethphla6dglv.onion/?product=ak-47-kalashnikov-full-auto"
90,"Remington Rand 1911","$6,000.00","http://markethphla6dglv.onion/?product=remington-rand-1911"
91,"Glock 43X 9mm","$680.00","http://markethphla6dglv.onion/?product=glock-43x-9mm"
92,"ammo SIG Sauer P226 AL SO DAO, Kal. 9mmP(100 per box)","$144.00","http://markethphla6dglv.onion/?product=ammo-sig-sauer-p226-al-so-dao-kal-9mmp50-per-box"
93,"Bluegrass Armory Moonshiner Bullpup .308 Winchester","$1,580.00","http://markethphla6dglv.onion/?product=bluegrass-armory-moonshiner-bullpup-308-winchester"
